Province,ProvinceCode,County,CountyCode,Warm0Cold1,Dry0Semi05Wet1,Literatcy1HS2above,LongitudeDegree,LatitudeDegree,source1well2surface,network1traditional2modern,ECwatirrig_dsm,croparea_ha,SoilTexture1Light2Normal3Heavy,SoilSalinitydSm,variety1chaI2chamII3Pish4SirMih5Oth,plant_date,harvest_date,GrowthLength150200_123,Irrig1surf2sprinkl3drip,irrig_depth_avg,number_of_irrig,water_vol_m3ha,effective_rain_fao_currentyear_mm,effective_rain_10year_fao075p_mm,WatNeedNationalBook_mm,WaterNeedBookmm,Et_clim_data_this_year_mm,ET_clim_10year_mm,leeching_need_percent,yield_kgha,water_efficiency_kgm3,efficiency_irrig_effectiveraincurrentyear_kgm3,efficiency_irrig_effectiverain10year_kgm3
KhorasanRazavi,3,TorbatJam,12,1,0,1,60.79190562,35.1787419,2,2,2.1,10.0,2,3.21,3,"""95/08/01",96-03-23,3,3,88,10,8840,131,60,476,559,,583,6,7300,0.8,0.7,0.8
KhorasanRazavi,3,Fariman,13,1,0,1,59.807619,35.730775,2,2,0.7,11.0,2,0.99,4,"""95/08/15",96-04-16,3,3,99,7,6920,131,60,476,559,,583,2,5850,0.8,0.7,0.8
KhorasanRazavi,3,Fariman,13,1,0,1,59.804317,35.739331,2,2,0.8,15.0,2,1.2,4,"""95/08/15",96-04-13,3,3,73,9,6613,131,60,476,559,,583,2,6300,1.0,0.8,0.9
KhorasanRazavi,3,Fariman,13,1,0,2,59.776031,35.75375,2,2,0.8,10.0,2,1.185,4,"""95/08/18",96-04-15,3,3,93,10,9280,131,60,476,559,,583,2,7500,0.8,0.7,0.8
KhorasanRazavi,3,Fariman,13,1,0,1,59.751025,35.758417,2,2,0.7,20.0,2,1.005,3,"""95/08/15",96-04-17,3,3,82,7,5760,131,60,476,559,,583,2,6500,1.1,0.9,1.0
KhorasanRazavi,3,Mashhad,14,1,0,2,59.730742,36.189628,2,2,0.8,9.0,2,1.215,3,"""95/08/20",96-04-10,3,3,76,7,5333,185,88,420,671,,403,2,4200,0.8,0.6,0.7
KhorasanRazavi,3,Golbahar,15,1,0,2,59.233281,36.630278,2,2,1.2,8.0,3,1.815,4,"""95/08/24",96-04-14,3,3,50,9,4471,185,88,420,671,,403,3,6500,1.5,1.0,1.2
KhorasanRazavi,3,Golbahar,15,1,0,2,59.157903,36.635333,2,2,1.0,10.0,3,1.47,3,"""95/08/15",96-04-11,3,3,52,11,5720,185,88,420,671,,403,3,7800,1.4,1.0,1.2
KhorasanRazavi,3,Golbahar,15,1,0,1,59.244472,36.620261,2,2,0.9,6.0,3,1.32,3,"""95/08/25",96-04-15,3,3,114,7,8000,185,88,420,671,,403,2,8400,1.1,0.9,0.9
KhorasanRazavi,3,TorbatJam,12,1,0,1,60.85116216,35.27712467,2,2,1.9,70.0,2,2.835,3,"""95/08/15",96-03-29,3,1,96,9,8640,131,60,476,559,,583,5,6150,0.7,0.6,0.7
KhorasanRazavi,3,TorbatJam,12,1,0,1,60.85116216,35.27712467,2,2,3.0,40.0,1,4.455,3,"""95/08/10",96-03-29,3,1,79,9,7104,131,60,476,559,,583,7,5700,0.8,0.7,0.7
KhorasanRazavi,3,TorbatJam,12,1,0,2,60.70974125,35.18666286,2,2,1.9,4.0,2,2.895,4,"""95/08/20",96-03-19,3,1,53,11,5859,131,60,476,559,,583,5,5350,0.9,0.7,0.8
KhorasanRazavi,3,TorbatJam,12,1,0,1,60.79190562,35.1787419,2,2,2.1,10.0,2,3.21,3,"""95/08/01",96-03-23,3,1,72,10,7221,131,60,476,559,,583,5,8200,1.1,1.0,1.0
KhorasanRazavi,3,Fariman,13,1,0,1,59.80762,35.730774,2,2,0.7,11.0,2,0.99,4,"""95/08/15",96-04-16,3,1,102,7,7128,131,60,476,559,,583,2,6200,0.9,0.7,0.8
KhorasanRazavi,3,Fariman,13,1,0,1,59.804317,35.739332,2,2,0.8,15.0,2,1.2,4,"""95/08/15",96-04-13,3,1,81,8,6480,131,60,476,559,,583,2,6800,1.0,0.9,1.0
KhorasanRazavi,3,Fariman,13,1,0,1,59.751026,35.758418,2,2,0.7,20.0,2,1.005,3,"""95/08/15",96-04-17,3,1,122,8,9720,131,60,476,559,,583,2,8000,0.8,0.7,0.8
KhorasanRazavi,3,Mashhad,14,1,0,2,59.730739,36.189628,2,2,0.8,9.0,2,1.215,3,"""95/08/20",96-04-10,3,1,69,9,6178,185,88,420,671,,403,2,4500,0.7,0.6,0.6
KhorasanRazavi,3,Golbahar,15,1,0,2,59.233281,36.630361,2,2,1.2,8.0,3,1.815,4,"""95/08/24",96-04-14,3,1,93,7,6480,185,88,420,671,,403,3,8500,1.3,1.0,1.2
KhorasanRazavi,3,Golbahar,15,1,0,1,59.244473,36.620273,2,2,0.9,6.0,3,1.32,3,"""95/08/25",96-04-15,3,1,105,8,8424,185,88,420,671,,403,2,9200,1.1,0.9,1.0
Fars,4,Marvdasht,16,1,0,1,52.85873277,29.93394143,2,2,0.9,2.7,3,1.3,1,95/08/23,96/03/20,3,1,115,7,8064,270,247,498,544,754,758,2,4815,0.6,0.4,0.5
Fars,4,Marvdasht,16,1,0,1,52.80047318,29.93269316,2,2,0.6,3.1,3,0.89,2,95/09/05,96/03/26,3,1,47,6,2801,270,247,498,544,795,801,2,5226,1.9,1.0,1.0
Fars,4,Marvdasht,16,1,0,2,52.87033282,29.98840026,2,2,0.1,5.2,2,1.9,2,95/08/23,96/03/29,3,2,115,4,4590,270,247,498,544,825,828,0,8513,1.9,1.2,1.2
Fars,4,Marvdasht,16,1,0,2,52.99328227,29.9928122,2,2,0.9,2.5,3,1.4,4,95/09/03,96/03/28,3,2,40,11,4355,273,247,498,544,796,790,3,7428,1.7,1.0,1.1
Fars,4,Marvdasht,16,1,0,1,53.12189033,29.85367824,2,2,1.0,9.2,3,1.7,5,95/09/25,96/04/01,2,3,76,9,6851,273,247,498,544,799,792,3,4918,0.7,0.5,0.5
Fars,4,Eghlid,17,1,0,1,52.32806027,30.48768162,2,1,0.4,8.5,3,0.47,3,95/08/04,96/05/05,3,1,80,7,5617,235,210,636,469,885,914,1,8588,1.5,1.1,1.1
Fars,4,Eghlid,17,1,0,1,52.31480749,30.56734224,2,2,0.4,28.0,3,0.65,3,95/08/10,96/04/27,3,2,53,11,5873,235,210,636,469,872,900,1,9000,1.5,1.1,1.1
Fars,4,Eghlid,17,1,0,1,52.64275945,30.65868114,2,2,0.3,15.0,3,0.739,3,95/08/01,96/05/10,3,2,49,10,4881,215,210,690,469,891,921,1,7533,1.5,1.1,1.1
Fars,4,Eghlid,17,1,0,1,52.65741127,30.65011375,2,1,0.4,7.0,3,0.585,3,95/09/01,96/05/07,3,1,62,12,7435,215,210,690,469,832,848,1,7000,0.9,0.7,0.7
Fars,4,Eghlid,17,1,0,1,52.40422378,30.52439043,2,2,0.4,4.5,3,0.615,4,95/08/25,96/04/28,3,2,61,11,6742,235,210,636,469,843,863,1,5267,0.8,0.6,0.6
Fars,4,Eghlid,17,1,0,1,52.44180018,30.50708986,2,1,0.4,4.0,3,1.15,3,95/08/15,96/04/30,3,1,80,4,3182,235,210,636,469,860,885,1,4000,1.3,0.7,0.8
Fars,4,Eghlid,17,1,0,2,52.46543174,30.86636244,2,1,0.4,5.6,2,0.74,5,95/08/15,96/05/13,3,1,48,10,4826,215,210,690,469,861,886,1,6200,1.3,0.9,0.9
Fars,4,Eghlid,17,1,0,2,52.48091056,30.82483844,2,2,0.4,15.0,3,0.67,3,95/08/06,96/05/12,3,2,86,9,7725,215,210,690,469,881,910,1,7800,1.0,0.8,0.8
Fars,4,Lamerd,18,0,0.5,1,53.373604,27.252644,2,2,10.5,5.0,2,2.76,1,95/9/5,96/1/28,1,3,664,5,3320,255,166,,,,694,26,3400,1.0,0.6,0.7
Fars,4,Khonj,19,0,0.5,1,53.151013,28.17203566,2,2,5.8,4.0,2,3.51,1,95/9/5,96/1/28,1,3,1120,5,5600,264,168,467,525,,652,14,7117,1.3,0.9,1.0
Fars,4,Khonj,19,0,0.5,1,53.14835808,28.16050124,2,2,4.2,4.0,2,2.06,1,95/8/20,96/2/15,2,3,840,5,4200,264,168,467,525,,652,11,7337,1.7,1.1,1.2
Fars,4,Lamerd,18,0,0.5,1,52.9289449,27.66804954,2,2,7.8,5.0,1,3.38,4,95/9/4,96/2/7,2,3,542,8,4333,255,166,,,,694,19,3581,0.8,0.5,0.6
